brain_region_id,brain_atlas_id,parent_region_id,name,description,record_creation
atlas_1_15,atlas_1,,Frontal_Inf_Orb_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_75,atlas_1,,Pallidum_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_88,atlas_1,,Temporal_Inf_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_103,atlas_1,,Cerebelum_8_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_9,atlas_1,,Frontal_Mid_Orb_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_62,atlas_1,,SupraMarginal_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_27,atlas_1,,Rectus_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_37,atlas_1,,Hippocampus_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_20,atlas_1,,Olfactory_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_72,atlas_1,,Putamen_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_12,atlas_1,,Frontal_Inf_Tri_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_108,atlas_1,,Vermis_1_2,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_3,atlas_1,,Frontal_Sup_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_50,atlas_1,,Occipital_Mid_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_44,atlas_1,,Cuneus_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_7,atlas_1,,Frontal_Mid_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_92,atlas_1,,Cerebelum_Crus2_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_36,atlas_1,,Hippocampus_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_63,atlas_1,,SupraMarginal_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_35,atlas_1,,Cingulum_Post_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_73,atlas_1,,Putamen_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_82,atlas_1,,Temporal_Pole_Sup_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_68,atlas_1,,Paracentral_Lobule_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_13,atlas_1,,Frontal_Inf_Tri_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_80,atlas_1,,Temporal_Sup_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_114,atlas_1,,Vermis_9,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_17,atlas_1,,Rolandic_Oper_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_111,atlas_1,,Vermis_6,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_11,atlas_1,,Frontal_Inf_Oper_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_100,atlas_1,,Cerebelum_7b_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_28,atlas_1,,Insula_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_45,atlas_1,,Cuneus_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_5,atlas_1,,Frontal_Sup_Orb_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_49,atlas_1,,Occipital_Sup_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_14,atlas_1,,Frontal_Inf_Orb_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_87,atlas_1,,Temporal_Pole_Mid_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_106,atlas_1,,Cerebelum_10_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_4,atlas_1,,Frontal_Sup_Orb_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_25,atlas_1,,Frontal_Mid_Orb_R.1,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_38,atlas_1,,ParaHippocampal_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_10,atlas_1,,Frontal_Inf_Oper_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_26,atlas_1,,Rectus_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_89,atlas_1,,Temporal_Inf_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_94,atlas_1,,Cerebelum_3_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_79,atlas_1,,Heschl_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_78,atlas_1,,Heschl_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_21,atlas_1,,Olfactory_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_107,atlas_1,,Cerebelum_10_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_24,atlas_1,,Frontal_Mid_Orb_L.1,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_1,atlas_1,,Precentral_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_93,atlas_1,,Cerebelum_Crus2_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_52,atlas_1,,Occipital_Inf_L,taken from ADNIVolume,2015-11-24 00:00:00
